"Name","PartyFinal","PartyOpenParl","PartyWiki","PartyWikiClean","PartyfromText"
"Jon Sullivan","Labor",NA,"Australian Labor Party","Labor","Labor"
"Josh Burns","Labor","Labor",NA,NA,"Labor"
"Josh Frydenberg","Liberal",NA,"Liberal","Liberal","Liberal"
"Josh Wilson","Labor","Labor",NA,NA,"Labor"
"Judi Moylan","Liberal",NA,"Liberal","Liberal","Liberal"
"Julia Banks","Independent",NA,"Independent (2018–present)Liberal (2016–18)","Independent","Liberal"
"Julia Gillard","Labor",NA,"Labor","Labor","Labor"
"Julia Irwin","Labor",NA,"Labor","Labor","Labor"
"Julian Hill","Labor","Labor",NA,NA,"Labor"
"Julian Leeser","Liberal","Liberal",NA,NA,"Liberal"
"Julian Simmonds","Liberal",NA,"Liberal / LNP","Liberal","Liberal National"
"Julie Bishop","Liberal",NA,"Liberal","Liberal","Liberal"
"Julie Collins","Labor","Labor",NA,NA,"Labor"
"Julie Owens","Labor",NA,"Labor","Labor","Labor"
"Justine Elliot","Labor","Labor",NA,NA,"Labor"
"Justine Keay","Labor",NA,"Labor","Labor","Labor"
"Karen Andrews","Liberal","Liberal",NA,NA,"Liberal"
"Karen McNamara","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Kate Chaney","Ind","Ind",NA,NA,"Ind"
"Kate Ellis","Labor",NA,"Australian Labor Party","Labor","Labor"
"Kate Thwaites","Labor","Labor",NA,NA,"Labor"
"Katie Allen","Liberal",NA,"Liberal","Liberal","Liberal"
"Kay Elson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Kay Hull","National",NA,"The Nationals","National","National"
"Keith Pitt","National","National",NA,NA,"National"
"Keith Wolahan","Liberal","Liberal",NA,NA,NA
"Kelly Hoare","Labor",NA,"Labor","Labor","Labor"
"Kelly O'Dwyer","Liberal",NA,"Liberal","Liberal","Liberal"
"Kelvin Thomson","Labor",NA,"Labor (1975–2019)","Labor","Labor"
"Ken O'Dowd","Liberal National",NA,"Liberal National Party (Nationals)","Liberal National","National"
"Ken Ticehurst","Liberal",NA,"Liberal Party of Australia (2001-2007)","Liberal","Liberal"
"Ken Wyatt","Liberal",NA,"Liberal (until 2023)","Liberal","Liberal"
"Kerry Bartlett","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Kerry Rea","Labor",NA,"Australian Labor Party","Labor","Labor"
"Kerryn Phelps","Independent",NA,"Kerryn Phelps Independents","Independent","Ind"
"Kevin Andrews","Liberal",NA,"Liberal Party","Liberal","Labor"
"Kevin Hogan","National","National",NA,NA,"National"
"Kevin Rudd","Labor",NA,"Labor","Labor","Labor"
"Kim Beazley","Labor",NA,"Party Leadership; ; ; Leader of the Labor PartyIn office28 January 2005 – 4 December 2006DeputyJenny MacklinPreceded byMark LathamSucceeded byKevin RuddIn office19 March 1996 – 22 November 2001DeputyGareth EvansSimon CreanPreceded byPaul KeatingSucceeded bySimon CreanDeputy Leader of the Labor PartyIn office20 June 1995 – 19 March 1996LeaderPaul KeatingPreceded byBrian HoweSucceeded byGareth Evans","Labor","Labor"
"Kim Wilkie","Labor",NA,"Labor","Labor","Labor"
"Kirsten Livermore","Labor",NA,"Australian Labor Party","Labor","Labor"
"Kristy McBain","Labor","Labor",NA,NA,"Labor"
"Kylea Tink","Ind","Ind",NA,NA,"Ind"
"Kym Richardson","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Laura Smyth","Labor",NA,"Australian Labor Party","Labor","Labor"
"Laurie Ferguson","Labor",NA,"Australian Labor Party","Labor","Labor"
"Libby Coker","Labor","Labor",NA,NA,"Labor"
"Linda Burney","Labor","Labor",NA,NA,"Labor"
"Lindsay Tanner","Labor",NA,"Labor","Labor","Labor"
"Lisa Chesters","Labor","Labor",NA,NA,"Labor"
"Llew O'Brien","National","National",NA,NA,"National"
"Louise Markus","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Louise Miller-Frost","Labor","Labor",NA,NA,"Labor"
"Lucy Wicks","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Luke Gosling","Labor","Labor",NA,NA,"Labor"
"Luke Hartsuyker","National",NA,"National","National","Labor"
"Luke Howarth","Liberal","Liberal",NA,NA,"Liberal"
"Luke Simpkins","Liberal",NA,"Liberal (to 2017)Conservatives (2017)","Liberal","Liberal"
"Madeleine King","Labor","Labor",NA,NA,"Labor"
"Mal Brough","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Mal Washer","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Malcolm Turnbull","Liberal",NA,"Liberal","Liberal","Labor"
"Margaret May","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Maria Vamvakinou","Labor","Labor",NA,NA,"Labor"
"Marion Scrymgour","Labor","Labor",NA,NA,"Labor"
"Mark Baker","Liberal",NA,"Liberal Party of Australia","Liberal","Liberal"
"Mark Butler","Labor","Labor",NA,NA,"Labor"
